id,peso,entrada_tsotsil,tipo_abreviado,tipo_palabra,categoria_general,traduccion_espanol,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original
1,1,abat,s,sustantivo,sustantivo,"soldado, mensajero",,,,,,"abat s soldado, mensajero"
2,1,abmaltic,,,variante dialectal,"montaña, bosque",,Ch'en,Chenalhó,jabnaltic,,"abmaltic Ch'en montaña, bosque abmalal te'tic, muc' ta abmal serranía, sierra Véase jabnaltic"
3,1,abol,adj,adjetivo,adjetivo,"infeliz, pobre, desgraciado.","Li vinic li'i toj abol sba yu'un mu'yue ctusi oy yu'un, Éste hombre es muy pobre porque no tiene nada.",,,,,"abol adj infeliz, pobre, desgraciado. Li vinic li'i toj abol sba yu'un mu'yue ctusi oy yu'un, Éste hombre es muy pobre porque no tiene nada."
4,1,ta xaboltajes,vt,verbo transitivo,verbo,lo debilita,,,,,,ta xaboltajes vt lo debilita
5,1,ta x'aboltaj,vi,verbo intransitivo,verbo,se debilita,,,,,,ta x'aboltaj vi se debilita
6,1,abolajan,imper,imperativo,imperativo,"hazme el favor, por",,,,,,"abolajan imper hazme el favor, por"
7,1,favor,,,variante dialectal,abulajan,,Ch'en,Chenalhó,,,favor Ch'en abulajan
8,1,ta x'abolaj,vi,verbo intransitivo,verbo,hace el favor,,Ch'en,Chenalhó,,,ta x'abolaj vi hace el favor Ch'en ta x!abulaj
9,1,xyuc'lajet,s,sustantivo,sustantivo,"arma, herramienta",,,,abtel,,"abtejebal s arma, herramienta yabtejeb su arma, su herramienta Véase abtel"
10,1,abtel,s,sustantivo,sustantivo,"1. trabajo, obra. Ta jpas",,,,,,"abtel s 1. trabajo, obra. Ta jpas cabtel. Hago mi trabajo. 2. empleo, puesto, oficio. Tsots yabtel yich'oj. Tiene un puesto muy importante."
11,1,abtejebal,s,sustantivo,sustantivo,"arma, herramienta",,,,,,"abtejebal s arma, herramienta"
12,1,abtelal,s,sustantivo,sustantivo,trabajo (en general),,,,,en general,abtelal s trabajo (en general)
13,1,j'abtel,s,sustantivo,sustantivo,"autoridad, oficial",,,,,,"j'abtel s autoridad, oficial"
14,1,j'abteletic,s,sustantivo,sustantivo,oficiales públicos,,,,,,"j'abteletic s oficiales públicos, soldados"
15,1,jtabtel vacax,s,sustantivo,sustantivo,"buey, yunta",,Zin,Zinacantán,,,"jtabtel vacax s buey, yunta Zin abtel vacax, jvey"
16,1,j'abtel vinic,s,sustantivo,sustantivo,"obrero, servidor",,,,,,"j'abtel vinic s obrero, servidor"
17,1,ta xabtelan,vr,verbo reflexivo,verbo,"lo hace trabajar, lo",,,,,,"ta xabtelan vr lo hace trabajar, lo trabaja"
18,1,ta xlabtej,vi,verbo intransitivo,verbo,trabaja,,,,,,ta xlabtej vi trabaja
19,1,yabtejeb,s,sustantivo,sustantivo,"su herramienta, su",,,,abol,,"yabtejeb s su herramienta, su arma abul Ch/en infeliz, pobre, desgraciado Véase abol"
20,1,acanajel,vn,verbo nominal/sustantivado,verbo,quejarse. Li vinique,Li vinique yacal ta acanajel yu'un toj ctux cha'i li syaijemal yoque.,,,,,acanajel vn quejarse. Li vinique yacal ta acanajel yu'un toj ctux cha'i li syaijemal yoque. El hombre se está quejando porque le duele mucho la herida en el pie.
21,1,ta x'acanaj,vi,verbo intransitivo,verbo,se queja (de dolor),,,,,de dolor,ta x'acanaj vi se queja (de dolor) 1 tzil - Español
22,1,acanil,s,sustantivo,sustantivo,pierna (desde la cadera hasta,,,,,desde la cadera hasta los pies,acanil s pierna (desde la cadera hasta los pies)
23,1,sets'al sjol cacantic,s,sustantivo,sustantivo,rótula,,,,,,sets'al sjol cacantic s rótula
24,1,sjol cacantic,s,sustantivo,sustantivo,rodilla,,,,,,sjol cacantic s rodilla
25,1,ste'el cacantic,s,sustantivo,sustantivo,"pierna, canilla",,,,,,"ste'el cacantic s pierna, canilla"
26,1,acanil,,,variante dialectal,pie ta cacantic a pie,,Ch'en,Chenalhó,ocol,,acanil Ch'en pie ta cacantic a pie Véase ocol
27,1,acan-sch'aj,,,variante dialectal,pájaro haragán Véase,,Ixt,Ixtapa,ch'aj-mut; xc'un,,acan-sch'aj Ixt pájaro haragán Véase ch'aj-mut; xc'un
28,1,acov,s,sustantivo,sustantivo,panal,,,,,,acov s panal
29,1,chanul acoy,s,sustantivo,sustantivo,avispa,,,,,,chanul acoy s avispa
30,1,ichil acov,s,sustantivo,sustantivo,panal de castilla,,,,,,ichil acov s panal de castilla
31,1,acuxa,s,sustantivo,sustantivo,aguja,,,,,,acuxa s aguja
32,1,acuxa chon,s,sustantivo,sustantivo,agujilla (culebra),,,,,culebra,acuxa chon s agujilla (culebra)
33,1,act,s,sustantivo,sustantivo,"bejuco, mecate",,,,,,"act s bejuco, mecate"
34,1,ichi-ac',s,sustantivo,sustantivo,una clase de bejuco de,,,,,,ichi-ac' s una clase de bejuco de flor blanca
35,1,yaq!uil,s,sustantivo,sustantivo,el mecate (de una cosa),,,,actubal,de una cosa,"yaq!uil s el mecate (de una cosa), el cordón p.ej. para zapatos, la correa p.ej. de los huaraches actabal /xt noche Véase actubal"
36,1,ac'abal p'ilix,,,variante dialectal,grillo,,Ixt,Ixtapa,chil,,ac'abal p'ilix Ixt grillo Véase chil
37,1,actal,s,sustantivo,sustantivo,"braza, carbón",,,,,,"actal s braza, carbón"
38,1,yac'lel,s,sustantivo,sustantivo,la braza (del fuego),,,,,del fuego,yac'lel s la braza (del fuego)
39,1,ac'-<ch'ix,,,variante dialectal,maraña,,Ixt,Ixtapa,ts'i'leltic,,ac'-<ch'ix Ixt maraña Véase ts'i'leltic
40,1,actobal,,,variante dialectal,noche Véase,,Cham; Zin,Chamula; Zinacantán,actubal,,"actobal Cham, Zin noche Véase actubal"
41,1,actol,adv,adverbio,adverbio,arriba. Chibat ta ac'ol.,,,,,,actol adv arriba. Chibat ta ac'ol. Voy arriba.
42,1,"j'ac'olal vinic, j'actoltical vinic",s,sustantivo,sustantivo,,,,,,,"j'ac'olal vinic, j'actoltical vinic s arribeño"
43,1,yactol,s,sustantivo,sustantivo,arriba de,,,,,,yactol s arriba de
44,1,actot,s,sustantivo,sustantivo,baile. Oy actot ta ch'ivit ta,Oy actot ta ch'ivit ta ac'ubal tana.,,,,,actot s baile. Oy actot ta ch'ivit ta ac'ubal tana. Esta noche va a haber un baile en la plaza.
45,1,j'actot,s,sustantivo,sustantivo,"bailador, bailarín",,,,,,"j'actot s bailador, bailarín, persona bailando, danzante"
46,1,ta xactotajes,vr,verbo reflexivo,verbo,le hace fiestas,,,,,,"ta xactotajes vr le hace fiestas p.ej. a su criatura, lo hace bailar"
47,1,ta xactotan,vt,verbo transitivo,verbo,lo baila (una pieza,,,,,una pieza de música,ta xactotan vt lo baila (una pieza de música)
48,1,ta x'actotaj,vi,verbo intransitivo,verbo,baila,,,,,,ta x'actotaj vi baila
49,1,ac'tic,,,variante dialectal,maraña,,Ixt,Ixtapa,ts'i'leltic,,ac'tic Ixt maraña Véase ts'i'leltic
50,1,actubal,s,sustantivo,sustantivo,la noche,,,,,,"actubal s la noche o'lol ac'ubal, ol ac'ubal medianoche ta ctac'al ta actubal de día y de noche 3 ach'"
51,2,ach',adj,adjetivo,adjetivo,nuevo. Li vinic le'e la sman,Li vinic le'e la sman ep ach' pixalaletic sventa ta schon.,,,,,ach' adj nuevo. Li vinic le'e la sman ep ach' pixalaletic sventa ta schon. Aquel hombre compró muchos sombreros nuevos para venderlos.
52,2,ach'ach',to,partícula temporal/aspectual,partícula temporal/aspectual,"hace poco, recién",,,,,,"ach'ach' to hace poco, recién ta xachlubtas ví lo hace de nuevo, lo renueva"
53,2,ta xlach'ub,vi,verbo intransitivo,verbo,se hace o se pone,,,,,,"ta xlach'ub vi se hace o se pone nuevo, se renueva"
54,2,ach'el,s,sustantivo,sustantivo,lodo. Sc'an pasel mas ach'el,Sc'an pasel mas ach'el sventa li pac'bal nae.,,,,,ach'el s lodo. Sc'an pasel mas ach'el sventa li pac'bal nae. Hay que preparar más lodo para entortar la casa.
55,2,acheltic,s,sustantivo,sustantivo,"lugar lodoso, pantano",,,,,,"acheltic s lugar lodoso, pantano, ciénaga"
56,2,me'-ach'el,s,sustantivo,sustantivo,kildio,,,,,,me'-ach'el s kildio
57,2,ach'elil,s,sustantivo,sustantivo,el páncreas yach'el su,,,,,,ach'elil s el páncreas yach'el su páncreas
58,2,ain,s,sustantivo,sustantivo,"lagarto, cocodrilo. Li aine ja'","Li aine ja' jechtic jech chac c'u cha'al li ocotse, ja! no'ox ti ja' toj muc' li aine.",,,,,"ain s lagarto, cocodrilo. Li aine ja' jechtic jech chac c'u cha'al li ocotse, ja! no'ox ti ja' toj muc' li aine. El lagarto es parecido al camaleón, pero el lagarto es muy grande."
59,2,aj,s,sustantivo,sustantivo,carrizo,,,,,,aj s carrizo
60,2,yajil,s,sustantivo,sustantivo,carrizo p.ej. de la,,,,,,yajil s carrizo p.ej. de la Canasta
61,2,aja chon,s,sustantivo,sustantivo,víbora de cascabel,,,,,,aja chon s víbora de cascabel
62,2,ajan,s,sustantivo,sustantivo,elote. Ta jetux ajan. Yo,,,,,,ajan s elote. Ta jetux ajan. Yo como elote.
63,2,aja pom,s,sustantivo,sustantivo,miel de abeja cp pom,,,,,,aja pom s miel de abeja cp pom
64,2,"chanul aja pom, chanul pom",s,sustantivo,sustantivo,,,,,,,"chanul aja pom, chanul pom s abeja"
65,2,ajnilajel vinic,s,sustantivo,sustantivo,novio,,,,ajnilal,,ajnilajel vinic s novio Véase ajnilal
66,2,ajnilal,s,sustantivo,sustantivo,esposa. Li ajnilale ja!,Li ajnilale ja! yabtel ta sq'uel li yalabe.,,,,,ajnilal s esposa. Li ajnilale ja! yabtel ta sq'uel li yalabe. Las esposas tienen la obligación de cuidar a sus hijos.
67,2,ajnilajel vinic,s,sustantivo,sustantivo,novio,,,,,,ajnilajel vinic s novio
68,2,ta x'ajnilaj,vi,verbo intransitivo,verbo,se casa (el hombre),,,,,el hombre,ta x'ajnilaj vi se casa (el hombre)
69,2,yajnil,s,sustantivo,sustantivo,su esposa,,,,,,yajnil s su esposa
70,2,"ajte""",s,sustantivo,sustantivo,matasano (una clase de árbol,,,,,una clase de árbol frutal,"ajte"" s matasano (una clase de árbol frutal)"
71,2,ajvalil,s,sustantivo,sustantivo,"dueño, patrón, gobernador",,,,,,"ajvalil s dueño, patrón, gobernador"
72,2,Cajvaltic,s,sustantivo,sustantivo,"nuestro Señor, Dios",,,,,,"Cajvaltic s nuestro Señor, Dios"
73,2,sme'ajval,s,sustantivo,sustantivo,su patrona,,,,,,sme'ajval s su patrona
74,2,ta xajvalin,vt,verbo transitivo,verbo,"manda, señorea, se",,,,,,"ta xajvalin vt manda, señorea, se apodera"
75,2,yajval,s,sustantivo,sustantivo,"su dueño, su patrón, su",,,,,,"yajval s su dueño, su patrón, su amo 14"
76,2,yajval balumil,s,sustantivo,sustantivo,espíritu dueño,,,,,creencia indígena,yajval balumil s espíritu dueño de la tierra (creencia indígena)
77,2,yajval jteclum,s,sustantivo,sustantivo,el indígena (que,,,,,,yajval jteclum s el indígena (que
78,2,es natural del pueblo),,,variante dialectal,,,Ch'en,Chenalhó,,,es natural del pueblo) Chen yajval lum
79,2,alac',adj,adjetivo,adjetivo,bonito. Alac' sba li tseube.,,,,,,alac' adj bonito. Alac' sba li tseube. La niña es muy bonita.
80,2,alajel,vn,verbo nominal/sustantivado,verbo,"parir, dar a luz",,,,,,"alajel vn parir, dar a luz"
81,2,ta xalantas,vt,verbo transitivo,verbo,daa luz,,,,,,ta xalantas vt daa luz
82,2,ta x'alaj,vi,verbo intransitivo,verbo,pare,,,,,,ta x'alaj vi pare
83,2,alampre,s,sustantivo,sustantivo,alambre lxt,,Cham,Chamula,,,"alampre s alambre Cham, lxt alampra"
84,2,ch'ixal alampre,s,sustantivo,sustantivo,alambre de,,,,,,ch'ixal alampre s alambre de púas
85,2,alavanux,s,sustantivo,sustantivo,rábano,,Zin,Zinacantán,tulnichim,,"alavanux s rábano alaveno /xt hierbabuena, yerbabuena Zin alavena Véase tulnichim"
86,2,alaxa,s,sustantivo,sustantivo,naranja. Oy jaychop li,Oy jaychop li alaxae.,,,,,alaxa s naranja. Oy jaychop li alaxae. Hay varias clases de naranjas.
87,2,alaxatic,s,sustantivo,sustantivo,naranjal,,,,jutbil clop,,alaxatic s naranjal albil ctop /xt mentira Véase jutbil clop
88,2,aldavial-na,,,variante dialectal,candado,¿C'u sba ta alel? | ¿Cómo se dice?,Ch'en,Chenalhó,,,"aldavial-na Ch'en candado alel yn decir. ¿C'u sba ta alel? ¿Cómo se dice? alo ca'itic díganos, dinos altic es mentira, no es cierto, es en vano"
89,2,jech xal ya'uc tiene razón,,,variante dialectal,,,Ch'en,Chenalhó,,,jech xal ya'uc tiene razón Chen jechac xal ta melel
90,2,jral-ctop,s,sustantivo,sustantivo,profeta [xt mentiroso,,,,,,jral-ctop s profeta [xt mentiroso
91,2,jral-mantal,s,sustantivo,sustantivo,mensajero,,,,,,jral-mantal s mensajero
92,2,ta scha!-al,ve,verbo de estado,verbo,lo repite,,,,,,ta scha!-al ve lo repite
93,2,ta xal,vr,verbo reflexivo,verbo,lo dice,,,,,,"ta xal vr lo dice ta xal colaval da las gracias ta xal ta jamal dice la verdad, confiesa yal chiox no hay de que"
94,2,alíbal,s,sustantivo,sustantivo,nuera. Li alibale sctan ti ta,Li alibale sctan ti ta sch'unbe smantal li sme'alibe.,,,,,alíbal s nuera. Li alibale sctan ti ta sch'unbe smantal li sme'alibe. La nuera tiene que obedecer a su suegra.
95,2,sme'alib,s,sustantivo,sustantivo,su suegra (de la mujer,,Ch'en; Zin,Chenalhó; Zinacantán,,,"sme'alib s su suegra (de la mujer Chen, Zin smetel alib"
96,2,"smol-alib, smu-alib, smo-alib",s,sustantivo,sustantivo,,,,,,de la mujer,"smol-alib, smu-alib, smo-alib 5 su suegro (de la mujer)"
97,2,yalib,s,sustantivo,sustantivo,su nuera,,,,ich-mut 15,,yalib s su nuera alperes mut Ch/en tángara Véase ich-mut 15
98,3,alperes mut,s,sustantivo,sustantivo,urraca,,,,"p'isob-satil altic inter es mentira, no es cierto, es en vano; alel",,"alperes mut s urraca altal /xt altar Véase p'isob-satil altic inter es mentira, no es cierto, es en vano Véase alel"
99,3,alubel,vn,verbo nominal/sustantivado,verbo,entumecerse (de frío),,,,,de frío; de miedo,"alubel vn entumecerse (de frío), paralizarse (de miedo)"
100,3,ta x'alub,vi,verbo intransitivo,verbo,se entumece,,,,,,ta x'alub vi se entumece
101,3,alvalin /xt albañil,,,variante dialectal,alvanil Véase,,Zin,Zinacantán,jva'anej-na; jpas-na,,alvalin /xt albañil Zin alvanil Véase jva'anej-na; jpas-na
102,3,alvanux,,,variante dialectal,rábano Véase,,Cham; Ch'en,Chamula; Chenalhó,alavanux alvidel /xt alfiler; jich'il laux,,"alvanux Cham, Ch'en rábano Véase alavanux alvidel /xt alfiler Véase jich'il laux"
103,3,ama,,,variante dialectal,flauta Véase,,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,amay,,"ama Cham, Ch!en, Zin flauta Véase amay"
104,3,amac!,s,sustantivo,sustantivo,patio. Sctan mesel li,,,,,,amac! s patio. Sctan mesel li amaq'ue yu'un noj ta c'atep. Hay que barrer el patio porque tiene mucha basura.
105,3,yamaq'uil,s,sustantivo,sustantivo,el patio (de la casa),,,,,de la casa,yamaq'uil s el patio (de la casa)
106,3,amay,s,sustantivo,sustantivo,flauta,,Cham; Ch'en; Zin,Chamula; Chenalhó; Zinacantán,,,"amay s flauta Cham, Ch'en, Zin ama"
107,3,jtij-amay,s,sustantivo,sustantivo,persona que toca la,,,,,,jtij-amay s persona que toca la flauta
108,3,amoch,s,sustantivo,sustantivo,sapo cp xpococ,,,,,,amoch s sapo cp xpococ
109,3,anchan,imper,imperativo,imperativo,¡cállate! ¡cállese!,,,,,,anchan imper ¡cállate! ¡cállese!
110,3,anel,vn,verbo nominal/sustantivado,verbo,1. labrar (madera). Mu,Mu masuc vocol ta anel li te' li'i.,,,,madera,anel vn 1. labrar (madera). Mu masuc vocol ta anel li te' li'i. No es muy difícil labrar esta madera. 2. arder
111,3,j'an-te',s,sustantivo,sustantivo,labrador de madera,,,,,,j'an-te' s labrador de madera ta xan te! labra tablas o madera
112,3,ta x'an,vi,verbo intransitivo,verbo,arde,,,,,,ta x'an vi arde
113,3,anil,adv,adverbio,adverbio,"rápido, en apuros. Anil",,,,,,"anil adv rápido, en apuros. Anil chanav li jca'e. Mi caballo camina rápido."
114,3,ta xanilta,vr,verbo reflexivo,verbo,lo corre (una,,,,,una carrera,ta xanilta vr lo corre (una carrera)
115,3,ta x'anilaj,vi,verbo intransitivo,verbo,corre,,,,,,ta x'anilaj vi corre
116,3,anima,s,sustantivo,sustantivo,"muerto, difunto, cadáver; adj",Li anima stot li querem liti toj lec to'ox yo'on.,,,,,"anima s muerto, difunto, cadáver; adj difunto. Li anima stot li querem liti toj lec to'ox yo'on. El difunto papá de este niño era muy bueno."
117,3,biq'uit anima,s,sustantivo,sustantivo,angelito,,Cham,Chamula,,,biq'uit anima s angelito Cham
118,3,nene' anima,,,variante dialectal,c'ox anima,,Zin,Zinacantán,,,nene' anima Zin c'ox anima
119,3,aniyoal ctobil,s,sustantivo,sustantivo,anillo,,,,,,aniyoal ctobil s anillo
120,3,anjel,s,sustantivo,sustantivo,rayo cp chaue,,,,,,anjel s rayo cp chaue
121,3,ants,s,sustantivo,sustantivo,mujer. Le! xbat jun ja'vil,,,,,,ants s mujer. Le! xbat jun ja'vil antse. Allí va una mujer a traer agua. aq'uin
122,3,slecom ants,s,sustantivo,sustantivo,su novia,,Ch'en,Chenalhó,,,slecom ants s su novia Ch'en slecum ants
123,3,tsebal ants,s,sustantivo,sustantivo,jovencita,,,,,,tsebal ants s jovencita
124,3,yantsil nich'on,s,sustantivo,sustantivo,su hija (de,,,,,de hombre,yantsil nich'on s su hija (de hombre)
125,3,yantsil-ol,s,sustantivo,sustantivo,su hija (de mujer),,,,,de mujer,yantsil-ol s su hija (de mujer)
126,3,antsil pom,s,sustantivo,sustantivo,colmena del haragán. Li,Li antsil pome ta xac! sna ta balumil.,,,xmatal,una hierba,antsil pom s colmena del haragán. Li antsil pome ta xac! sna ta balumil. La colmena del haragán se encuentra en la tierra. antsil te! [xt mala mujer (una hierba) Véase xmatal
127,3,aptael,vn,verbo nominal/sustantivado,verbo,llamar a gritos. Li juntote,"Li juntote iya'i li aptaele, ja' yu'un ital.",,,,,"aptael vn llamar a gritos. Li juntote iya'i li aptaele, ja' yu'un ital. Mi tío oyó el grito, por eso vino."
128,3,ta/xapta,vr,verbo reflexivo,verbo,"lo llama a gritos, le",,,,,,"ta/xapta vr lo llama a gritos, le grita"
129,3,"apub, apubil",s,sustantivo,sustantivo,achigual. Ac'bo yuch',,,,,,"apub, apubil s achigual. Ac'bo yuch' apubil li chitome. Dale achigual al"
130,3,marrano para que coma.,,,variante dialectal,apobil,,Zin,Zinacantán,,,marrano para que coma. Zin apobil
131,3,apun,s,sustantivo,sustantivo,tumor. loc! jp'ej apun ta,,,,,,apun s tumor. loc! jp'ej apun ta sbats'i xocon li vinique. Al hombre le salió un tumor en el costado derecho.
132,3,aptal,adj,adjetivo,adjetivo,bizco. Li unen biq'uit,"Li unen biq'uit quereme jech no'ox tey ap'al sat, mu xvic! lec.",,,,,"aptal adj bizco. Li unen biq'uit quereme jech no'ox tey ap'al sat, mu xvic! lec. El niño tiene los ojos bizcos, no los puede abrir bien."
133,3,aqluel,vn,verbo nominal/sustantivado,verbo,"dar, dejar, poner. Sctan",,,,,,"aqluel vn dar, dejar, poner. Sctan chba yich' aq'uel ta sna li biq'uit quereme. Hay que ir a dejar al niño a su casa."
134,3,j'act-chamel,s,sustantivo,sustantivo,brujo,,,,,,j'act-chamel s brujo
135,3,jractvanej ta ich'el=jo',s,sustantivo,sustantivo,uno que,,,,,,jractvanej ta ich'el=jo' s uno que bautiza p.ej. el cura
136,3,ta xac',vr,verbo reflexivo,verbo,lo da,,,,,,"ta xac' vr lo da ta xactbe castico lo castiga ta xac'be sjol le da el interés, le da el premio ta xac! jo! llueve ta xac' ta ilel lo muestra ta xac! ta jatsil, ta xac' ta jats lo da fiado ta xac! ta venta lo cuida, piensa en ta xac! ta yo'on guarda rencor, no se olvida"
137,3,"aq'uin, aq'uintael",vn,verbo nominal/sustantivado,verbo,desyerbar. Li,Li avie mu xu' chbat ta jteclum yu'un arsal yacal ta aq'uin ta schob.,,,,,"aq'uin, aq'uintael vn desyerbar. Li avie mu xu' chbat ta jteclum yu'un arsal yacal ta aq'uin ta schob. Ahora no puede ir al pueblo porque está desyerbando su milpa."
138,4,ta xaqluinta,vr,verbo reflexivo,verbo,"lo desyerba, lo",,,,,,"ta xaqluinta vr lo desyerba, lo limpia p.ej. la milpa"
139,4,ta xlaq'uinaj,vi,verbo intransitivo,verbo,desyerba p.ej.,,,,,,ta xlaq'uinaj vi desyerba p.ej. la milpa
140,4,yaqluinal,s,sustantivo,sustantivo,la yerba (de la milpa,,,,,"de la milpa, huerta, etc.","yaqluinal s la yerba (de la milpa, huerta, etc.)"
141,4,arsal,,,variante dialectal,chicote,,Zin,Zinacantán,tsitsob-ca',,arsal Zin chicote Véase tsitsob-ca'
142,4,arvija,s,sustantivo,sustantivo,chicharos arveja,,Cham; Ch'en,Chamula; Chenalhó,,,arvija s chicharos Cham arveja Ch'en aravejo cp tetel chenec'
143,4,"asaron, asaruna, asaluna",s,sustantivo,sustantivo,azadón,,Ch'en,Chenalhó,,,"asaron, asaruna, asaluna s azadón Ch'en asarona"
144,4,asate,,,variante dialectal,aceite,,Zin,Zinacantán,asete,,asate Zin aceite Véase asete
145,4,asba,adv,adverbio,adverbio,así. Li asba smuctul li na,"Li asba smuctul li na liti, ja' jech smuctul li na li bu oyune.",,,,,"asba adv así. Li asba smuctul li na liti, ja' jech smuctul li na li bu oyune. Así de grande como está esta casa, es la casa donde vivo."
146,4,asca Ch/en azúcar,,,variante dialectal,ascal,,Cham,Chamula,asuca,,asca Ch/en azúcar Cham ascal Véase asuca
147,4,asento,,,variante dialectal,"rancho, finca, hacienda",,Cham; Ixt; Zin,Chamula; Ixtapa; Zinacantán,,,"asento Cham rancho, finca, hacienda Ixt asienta Zin asiento"
148,4,asete,s,sustantivo,sustantivo,aceite,,,,tsitsob-ca',,"asete s aceite asial xr chicote, látigo Véase tsitsob-ca'"
149,4,asiete,,,variante dialectal,aceite,,Cham,Chamula,asete,,asiete Cham aceite Véase asete
150,4,asuca,s,sustantivo,sustantivo,azúcar tsajal asuca panela.,Li tsajal asucae oy toj lec yolinoj sba yalal.,,,,,asuca s azúcar tsajal asuca panela. Li tsajal asucae oy toj lec yolinoj sba yalal. Hay tapas de panela que son muy pesadas.
151,4,atel,vn,verbo nominal/sustantivado,verbo,contar. Li chijetique lec xac',"Li chijetique lec xac' sbaic ta atel, yu'un mu sna' scapulan sbaic.",,,,,"atel vn contar. Li chijetique lec xac' sbaic ta atel, yu'un mu sna' scapulan sbaic. Los borregos se dejan contar muy bien porque no se revuelven."
152,4,atol,vn,verbo nominal/sustantivado,verbo,contar,,,,,,atol vn contar
153,4,"at-o'on, at-o'onil",s,sustantivo,sustantivo,"pena, tristeza",,,,,,"at-o'on, at-o'onil s pena, tristeza"
154,4,ta xat,vt,verbo transitivo,verbo,lo cuenta,,,,,,"ta xat vt lo cuenta ta xat yo'on está triste, está preocupado"
155,4,atimol,vn,verbo nominal/sustantivado,verbo,bañarse. Batic ta atimol ta,,,,,,atimol vn bañarse. Batic ta atimol ta uctum. Vamos a bañarnos en el río.
156,4,atinajebal,s,sustantivo,sustantivo,vasija; lugar donde,,,,,,atinajebal s vasija; lugar donde se baña
157,4,atinel,vn,verbo nominal/sustantivado,verbo,bañar,,,,,,atinel vn bañar
158,4,j'atimol,s,sustantivo,sustantivo,persona bañándose,,,,,,j'atimol s persona bañándose
159,4,ta xatintas,vr,verbo reflexivo,verbo,lo baña,,,,,,ta xatintas vr lo baña ta x'atin ví se baña 16
160,4,atinajebal,s,sustantivo,sustantivo,vasija; lugar donde se,,,,atimol,,atinajebal s vasija; lugar donde se baña. Tao talel li atinajebal li sventa pocobil c'abale. Trae la vasija para lavar las manos. Véase atimol
161,4,atinel,vn,verbo nominal/sustantivado,verbo,bañarse. Mu stac' atinel li,Mu stac' atinel li jo' li'i yutun toj ie.,,,atimol,,atinel vn bañarse. Mu stac' atinel li jo' li'i yutun toj ie. Con esta agua uno no se puede bañar porque está muy sucia. Véase atimol
162,4,atol,vn,verbo nominal/sustantivado,verbo,contar. Li vinic li'i lec sna',Li vinic li'i lec sna' atol.,,,atel,,atol vn contar. Li vinic li'i lec sna' atol. Este hombre sabe contar muy bien. Véase atel
163,4,"at-o'on, at-o'onil",s,sustantivo,sustantivo,"pena, tristeza. Li","Li juntote mec ta at-o'on oy, yu'un mu sna' bu ta sta yabtel.",Ch'en; Cham; Ixt,Chenalhó; Chamula; Ixtapa,atel; o'omil,,"at-o'on, at-o'onil s pena, tristeza. Li juntote mec ta at-o'on oy, yu'un mu sna' bu ta sta yabtel. Mi tío siempre está con pena porque no sabe donde va a encontrar trabajo. Cham, Ch'en at-o'nal, at-o'ntonal Ixt at-o'non Véase atel; o'omil"
164,4,atlesel,vn,verbo nominal/sustantivado,verbo,"regar, rociar. Li",Li nichimetique li ta yorail q'uepelale sc'an at'esel.,,,,,"atlesel vn regar, rociar. Li nichimetique li ta yorail q'uepelale sc'an at'esel. Las flores necesitan regarse en el invierno."
165,4,ta xattes,vt,verbo transitivo,verbo,"lo riega, lo rocía",,,,,,"ta xattes vt lo riega, lo rocía"
166,4,atstam,s,sustantivo,sustantivo,sal. Ctaluc ta xbat ta,,,,,,"atstam s sal. Ctaluc ta xbat ta jteclum li vinique ta sman yats'am. Cuando el hombre va al pueblo compra su sal. chi' ta atstam tiene sal, está salada"
167,4,saquil atstam,s,sustantivo,sustantivo,sal de monte,,,,,,saquil atstam s sal de monte
168,4,tanal atstam,s,sustantivo,sustantivo,sal de mar,,,,,,tanal atstam s sal de mar
169,4,yatstmel,s,sustantivo,sustantivo,la sal (de una cosa,,,,,,yatstmel s la sal (de una cosa
170,4,salada),,,variante dialectal,yats'amil,,Ch'en,Chenalhó,,,salada) Ch'en yats'amil
171,4,"avanel yn gritar, gemir, doler",s,sustantivo,sustantivo,,,,,,,"avanel yn gritar, gemir, doler; s grito. Ica'i avanel ta osiltic pero mu jna' buch'u. Oí un grito en el monte pero no sé quién es."
172,4,j'avanel,s,sustantivo,sustantivo,relinchador,,,,,,"j'avanel s relinchador ta x'avan ví grita, gime, duele ta x'avan sjol le duele la cabeza"
173,4,xlavet,vd,verbo descriptivo,verbo,"grita, gime",,,,,,"xlavet vd grita, gime"
174,4,yavamel,s,sustantivo,sustantivo,trueno,,,,,,yavamel s trueno
175,4,avarto,s,sustantivo,sustantivo,albarda,,,,,,avarto s albarda
176,4,avel,vn,verbo nominal/sustantivado,verbo,sembrar maíz. Li chobtique,"Li chobtique chopol ibat ta avel, ja' yu'un muc xac! lec.",,,,,"avel vn sembrar maíz. Li chobtique chopol ibat ta avel, ja' yu'un muc xac! lec. Sembraron mal el maíz y por eso no se dio bien."
177,4,avenel,vn,verbo nominal/sustantivado,verbo,resembrar; s resiembra,,,,,,avenel vn resembrar; s resiembra Y
178,5,j'ovol,s,sustantivo,sustantivo,sembrador,,,,,,j'ovol s sembrador
179,5,ovol,vn,verbo nominal/sustantivado,verbo,sembrar (maíz); s la,,,,,maíz,ovol vn sembrar (maíz); s la siembra de maíz
